CO,O3,NO2,SO2,PM10,PM2.5,AQI
39,12,79,28,86,138,138
47,17,77,27,76,125,125
35,14,46,17,48,81,81
47,11,46,16,44,87,87
52,20,71,18,56,106,106
44,18,65,21,56,93,93
45,19,60,24,50,76,76
26,20,39,19,28,48,48
39,15,59,19,52,87,87
36,16,57,32,66,114,114
32,18,42,19,45,70,70
43,13,56,20,57,88,88
29,28,45,22,51,69,69
34,15,54,20,53,74,74
36,13,62,21,60,100,100
32,17,59,24,58,89,89
30,17,52,20,44,72,72
30,13,53,19,56,98,98
40,13,63,21,61,115,115
45,12,69,30,84,149,149
42,13,68,26,84,151,151
50,15,75,33,75,156,156
55,12,81,34,84,155,155
52,14,81,41,92,156,156
45,15,79,39,85,147,147
54,15,85,43,81,144,144
49,17,71,41,98,165,165
38,13,57,31,75,138,138
36,14,62,36,72,120,120
38,15,70,32,59,107,107
28,15,62,21,56,113,113
29,12,60,23,68,133,133
32,16,50,27,67,130,130
33,13,61,30,69,142,142
29,12,55,28,72,149,149
29,12,49,26,69,131,131
43,19,72,29,70,139,139
34,22,74,31,71,133,133
39,19,66,30,72,138,138
33,23,66,28,70,140,140
37,15,75,22,78,152,152
41,17,78,29,68,135,135
34,18,64,33,59,102,102
32,18,65,32,56,86,86
30,17,53,27,60,110,110
34,19,57,26,63,118,118
29,18,56,26,64,121,121
33,22,57,25,68,127,127
43,22,64,32,65,116,116
48,21,73,37,81,145,145
52,18,81,32,78,137,137
50,19,75,34,73,131,131
55,27,75,31,67,109,109
33,29,54,23,49,78,78
43,25,63,31,54,87,87
50,13,73,34,70,118,118
45,21,68,26,56,92,92
33,22,60,27,48,82,82
36,27,56,23,42,63,63
46,23,57,25,50,79,79
30,18,37,23,62,68,68
25,22,35,24,55,70,70
27,20,39,24,41,67,67
25,25,36,24,45,66,66
26,20,36,21,30,63,63
37,19,66,25,49,101,101
49,21,78,35,65,131,131
50,22,75,38,78,143,143
46,22,73,35,73,136,136
55,23,84,38,91,155,155
51,22,84,39,88,155,155
43,27,75,41,79,147,147
36,28,60,35,59,97,97
38,27,60,33,56,97,97
51,27,71,34,67,115,115
46,28,73,36,75,127,127
27,28,57,33,52,88,88
38,17,55,25,55,104,104
38,22,63,27,61,102,102
33,29,68,31,64,95,95
40,17,61,34,58,95,95
45,24,73,31,56,92,92
37,19,64,35,68,108,108
31,20,54,37,68,102,102
39,23,63,33,64,103,103
41,22,72,33,75,126,126
34,27,67,32,66,111,111
31,24,68,32,63,100,100
35,28,62,24,50,80,80
33,26,58,27,44,77,77
41,23,71,33,62,110,110
48,23,78,33,73,123,123
27,24,61,29,66,105,105
39,26,62,26,74,113,113
47,23,57,27,72,116,116
36,25,55,26,73,114,114
32,22,55,27,90,122,122
30,22,55,28,72,106,106
25,25,42,23,57,73,73
43,20,55,31,54,89,89
29,35,58,23,41,80,80
30,28,52,26,34,61,61
26,40,49,26,33,60,60
32,40,57,25,41,70,70
27,31,49,28,37,56,56
37,23,48,26,47,74,74
34,23,46,25,76,118,118
29,33,45,22,56,92,92
30,30,45,25,34,62,62
22,37,44,26,26,50,50
20,28,32,23,42,51,51
28,30,46,30,36,61,61
33,37,55,30,36,59,59
43,42,63,27,39,67,67
41,33,67,28,42,69,69
28,34,53,25,27,47,47
25,32,47,22,28,42,42
39,28,52,22,51,76,76
24,31,39,23,23,40,40
26,33,38,21,29,44,44
36,34,53,22,33,51,51
24,36,33,21,41,61,61
33,19,46,19,24,55,55
31,24,54,21,31,63,63
45,36,65,20,35,56,56
36,32,54,25,50,70,70
41,32,64,28,58,83,83
28,27,47,31,67,90,90
29,33,44,23,57,79,79
26,34,38,22,46,63,63
32,35,50,24,43,56,56
33,34,56,24,52,63,63
38,27,51,25,53,62,62
28,32,45,22,48,55,55
32,30,50,23,35,45,45
27,31,46,25,36,48,48
30,38,46,25,43,62,62
35,33,52,30,50,67,67
35,35,49,24,57,75,75
36,44,60,26,52,81,81
35,32,56,22,56,71,71
32,31,47,23,50,66,66
38,29,52,21,54,73,73
33,35,48,22,43,60,60
35,39,57,25,46,65,65
39,41,47,23,48,63,63
32,31,48,20,48,78,78
37,32,53,23,60,82,82
32,33,53,22,52,66,66
36,36,50,23,43,60,60
40,38,48,23,49,73,73
30,36,48,23,44,65,65
31,38,50,21,42,58,58
31,42,48,22,52,71,71
29,38,47,24,51,65,65
34,39,50,25,49,74,74
29,38,50,24,52,74,74
35,39,42,23,47,72,72
38,42,56,25,48,69,69
33,44,56,25,65,93,93
33,36,51,23,55,78,78
45,35,60,22,50,71,71
24,39,44,20,60,66,66
23,47,42,22,46,65,65
28,33,47,21,45,67,67
34,42,55,23,50,78,78
29,45,52,23,54,69,69
35,46,53,24,53,66,66
24,37,38,20,45,55,55
30,30,46,19,40,68,68
32,33,55,22,46,82,82
39,36,59,23,43,71,71
33,40,56,19,44,65,65
34,36,60,19,47,69,69
36,43,61,21,48,74,74
44,37,60,23,40,65,65
27,42,47,20,45,65,65
25,44,51,23,44,57,57
33,42,49,20,47,70,70
35,39,59,22,56,88,88
36,46,56,25,52,75,75
31,37,62,24,53,80,80
33,33,56,23,71,100,100
34,31,51,22,73,106,106
26,38,38,19,69,95,95
35,36,44,20,54,81,81
36,36,42,24,85,97,97
49,34,62,27,103,125,125
38,28,59,26,80,122,122
41,36,58,23,62,110,110
39,37,51,27,64,102,102
35,30,52,25,66,115,115
30,42,52,23,68,109,109
33,30,44,22,59,89,89
41,40,51,22,66,93,93
36,42,60,23,50,82,82
28,38,47,22,60,80,80
